birthDate,draftOverall,draftYear,height,nationalityCode,playerId,shootsCatches,weight,positionCode,Name
1993-10-12,44.0,2012.0,73,USA,8476931,L,210,D,Jake McCabe
1994-12-09,,,69,CAN,8479066,L,184,L,Ryan Lomberg
2000-02-25,14.0,2018.0,72,USA,8480797,L,186,L,Joel Farabee
1992-10-29,151.0,2012.0,73,CAN,8476525,R,200,D,Colin Miller
2006-08-21,13.0,2024.0,71,CAN,8484779,R,180,C,Jett Luchanko
2001-04-30,,,71,CAN,8481789,L,202,L,Tye Kartye
1991-12-13,16.0,2010.0,73,RUS,8475765,L,219,R,Vladimir Tarasenko
1999-05-16,,,72,CAN,8481219,L,212,D,Jonathan Aspirot
1993-06-17,58.0,2011.0,72,RUS,8476453,L,173,R,Nikita Kucherov
2002-05-14,219.0,2021.0,71,SWE,8482911,R,178,D,Joel Nystrom
1990-02-07,1.0,2008.0,73,CAN,8474564,R,193,C,Steven Stamkos
1996-04-13,186.0,2015.0,76,CAN,8478904,L,219,C,Steven Lorentz
2005-07-17,1.0,2023.0,70,CAN,8484144,R,190,C,Connor Bedard
1994-01-20,6.0,2012.0,76,SWE,8476854,L,217,D,Hampus Lindholm
1994-03-25,,,77,CAN,8477073,L,233,L,Kurtis MacDermid
1993-03-15,7.0,2011.0,75,CAN,8476460,R,207,C,Mark Scheifele
2000-02-07,167.0,2020.0,74,SWE,8482496,L,179,C,Nils Aman
1993-05-05,30.0,2011.0,73,SWE,8476483,R,194,R,Rickard Rakell
2003-02-26,47.0,2021.0,68,CAN,8482702,R,165,C,Logan Stankoven
1994-04-11,55.0,2014.0,72,CAN,8477986,R,199,D,Brandon Montour
1994-04-06,,,74,RUS,8480950,R,206,D,Ilya Lyubushkin
1997-04-28,52.0,2015.0,75,CAN,8478468,L,225,D,Jeremy Lauzon
2007-03-16,5.0,2025.0,72,CAN,8485405,R,185,C,Brady Martin
2002-01-10,44.0,2020.0,77,USA,8482095,L,225,D,Tyler Kleven
2004-02-15,2.0,2022.0,73,SVK,8483495,R,190,D,Simon Nemec
1995-08-26,80.0,2013.0,72,CAN,8477407,L,198,L,Anthony Duclair
2003-09-09,4.0,2021.0,74,USA,8482684,L,198,D,Luke Hughes
2002-11-26,59.0,2021.0,78,FIN,8482726,L,201,C,Samuel Helenius
2004-07-12,12.0,2022.0,71,CAN,8483485,L,188,D,Denton Mateychuk
1998-08-27,159.0,2016.0,74,CAN,8479542,L,186,L,Brandon Hagel
2002-11-15,24.0,2021.0,71,USA,8482713,R,180,R,Mackie Samoskevich
1993-12-21,15.0,2012.0,75,CAN,8476879,R,210,D,Cody Ceci
1997-03-11,24.0,2015.0,70,CAN,8478439,R,192,R,Travis Konecny
1994-05-07,95.0,2012.0,75,CAN,8476981,R,226,R,Josh Anderson
1993-04-20,78.0,2012.0,71,USA,8476906,L,183,D,Shayne Gostisbehere
