id,season,gameType,gameDate,startTimeUTC,gameState,awayTeam.abbrev,awayTeam.score,homeTeam.abbrev,homeTeam.score,gameOutcome.lastPeriodType
2021020001,20212022,2,2021-10-12,2021-10-12T23:30:00Z,OFF,PIT,6,TBL,2,REG
2021020002,20212022,2,2021-10-12,2021-10-13T02:00:00Z,OFF,SEA,3,VGK,4,REG
2021020003,20212022,2,2021-10-13,2021-10-13T23:00:00Z,OFF,MTL,1,TOR,2,REG
2021020004,20212022,2,2021-10-13,2021-10-13T23:30:00Z,OFF,NYR,1,WSH,5,REG
2021020005,20212022,2,2021-10-13,2021-10-14T02:00:00Z,OFF,CHI,2,COL,4,REG
2021020006,20212022,2,2021-10-13,2021-10-14T02:00:00Z,OFF,VAN,2,EDM,3,SO
2021020007,20212022,2,2021-10-14,2021-10-14T23:00:00Z,OFF,MTL,1,BUF,5,REG
2021020008,20212022,2,2021-10-14,2021-10-14T23:00:00Z,OFF,TOR,2,OTT,3,REG
2021020009,20212022,2,2021-10-14,2021-10-14T23:30:00Z,OFF,TBL,7,DET,6,OT
2021020010,20212022,2,2021-10-14,2021-10-14T23:00:00Z,OFF,PIT,4,FLA,5,OT
2021020011,20212022,2,2021-10-14,2021-10-14T23:00:00Z,OFF,DAL,3,NYR,2,OT
2021020012,20212022,2,2021-10-14,2021-10-14T23:00:00Z,OFF,NYI,3,CAR,6,REG
2021020013,20212022,2,2021-10-14,2021-10-14T23:00:00Z,OFF,ARI,2,CBJ,8,REG
2021020014,20212022,2,2021-10-14,2021-10-15T00:00:00Z,OFF,SEA,4,NSH,3,REG
2021020015,20212022,2,2021-10-13,2021-10-14T02:00:00Z,OFF,WPG,1,ANA,4,REG
2021020016,20212022,2,2021-10-14,2021-10-15T02:30:00Z,OFF,VGK,2,LAK,6,REG
2021020017,20212022,2,2021-10-15,2021-10-15T23:00:00Z,OFF,CHI,3,NJD,4,OT
2021020018,20212022,2,2021-10-15,2021-10-15T23:00:00Z,OFF,VAN,5,PHI,4,SO
2021020019,20212022,2,2021-10-15,2021-10-16T02:00:00Z,OFF,MIN,2,ANA,1,REG
2021020020,20212022,2,2021-10-16,2021-10-16T23:00:00Z,OFF,DAL,1,BOS,3,REG
2021020021,20212022,2,2021-10-16,2021-10-16T17:00:00Z,OFF,ARI,1,BUF,2,SO
2021020022,20212022,2,2021-10-16,2021-10-16T23:00:00Z,OFF,OTT,1,TOR,3,REG
2021020023,20212022,2,2021-10-16,2021-10-16T23:00:00Z,OFF,NYR,3,MTL,1,REG
2021020024,20212022,2,2021-10-16,2021-10-16T23:00:00Z,OFF,VAN,1,DET,3,REG
2021020025,20212022,2,2021-10-16,2021-10-16T22:00:00Z,OFF,NYI,1,FLA,5,REG
2021020026,20212022,2,2021-10-16,2021-10-16T23:00:00Z,OFF,CHI,2,PIT,5,REG
2021020027,20212022,2,2021-10-16,2021-10-16T23:00:00Z,OFF,TBL,2,WSH,1,OT
2021020028,20212022,2,2021-10-16,2021-10-16T23:00:00Z,OFF,SEA,1,CBJ,2,OT
2021020029,20212022,2,2021-10-16,2021-10-17T00:00:00Z,OFF,CAR,3,NSH,2,REG
2021020030,20212022,2,2021-10-16,2021-10-17T01:00:00Z,OFF,STL,5,COL,3,REG
2021020031,20212022,2,2021-10-16,2021-10-17T02:00:00Z,OFF,CGY,2,EDM,5,REG
2021020032,20212022,2,2021-10-16,2021-10-17T02:30:00Z,OFF,MIN,3,LAK,2,REG
2021020033,20212022,2,2021-10-16,2021-10-17T02:00:00Z,OFF,WPG,3,SJS,4,REG
2021020034,20212022,2,2021-10-17,2021-10-17T21:00:00Z,OFF,DAL,2,OTT,3,REG
2021020035,20212022,2,2021-10-18,2021-10-18T23:00:00Z,OFF,NYR,2,TOR,1,OT
2021020036,20212022,2,2021-10-18,2021-10-18T23:00:00Z,OFF,SEA,1,PHI,6,REG
2021020037,20212022,2,2021-10-18,2021-10-19T01:30:00Z,OFF,ANA,3,CGY,2,OT
2021020038,20212022,2,2021-10-18,2021-10-19T02:00:00Z,OFF,STL,7,ARI,4,REG
2021020039,20212022,2,2021-10-19,2021-10-19T23:00:00Z,OFF,VAN,2,BUF,5,REG
2021020040,20212022,2,2021-10-19,2021-10-19T23:00:00Z,OFF,SJS,5,MTL,0,REG
2021020041,20212022,2,2021-10-19,2021-10-19T23:30:00Z,OFF,CBJ,1,DET,4,REG
2021020042,20212022,2,2021-10-19,2021-10-19T23:00:00Z,OFF,FLA,4,TBL,1,REG
