,Unnamed: 0.1,Unnamed: 0,assists,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,currentTeamAbbrev,currentTeamName,draftOverall,draftRound,draftYear,firstSeasonForGameType,gamesPlayed,goals,height,isInHallOfFameYn,lastName,nationalityCode,playerId,points,positionCode,shootsCatches,skaterFullName,weight
0,0,0,18,Eau Claire,USA,1993-10-12,WI,TOR,Toronto Maple Leafs,44.0,2.0,2012.0,20132014,75,4,73,N,McCabe,USA,8476931,22,D,L,Jake McCabe,210
1,1,1,9,Richmond Hill,CAN,1994-12-09,ON,CGY,Calgary Flames,,,,20172018,55,9,69,N,Lomberg,CAN,8479066,18,L,L,Ryan Lomberg,184
2,2,2,12,Sault Ste. Marie,CAN,1992-10-29,ON,WPG,Winnipeg Jets,151.0,5.0,2012.0,20152016,38,2,73,N,Miller,CAN,8476525,14,D,R,Colin Miller,200
3,3,3,2,Augsburg,DEU,1995-05-03,,MIN,Minnesota Wild,,,,20192020,13,0,75,N,Sturm,DEU,8481477,2,C,L,Nico Sturm,209
4,4,4,17,Syracuse,USA,2000-02-25,NY,CGY,Calgary Flames,14.0,1.0,2018.0,20192020,63,17,72,N,Farabee,USA,8480797,34,L,L,Joel Farabee,186
5,5,5,1,Umea,SWE,1997-12-01,,PHI,Philadelphia Flyers,57.0,2.0,2016.0,20212022,6,3,72,N,Grundstrom,SWE,8479336,4,R,L,Carl Grundstrom,200
6,6,6,75,Salem,USA,1993-08-13,NJ,,,104.0,4.0,2011.0,20132014,82,40,69,N,Gaudreau,USA,8476346,115,L,L,Johnny Gaudreau,163
7,7,7,51,Yaroslavl,RUS,1991-12-13,,MIN,Minnesota Wild,16.0,1.0,2010.0,20122013,87,40,73,N,Tarasenko,RUS,8475765,91,R,L,Vladimir Tarasenko,219
8,8,8,0,Pelhrimov,CZE,1993-10-05,,,,49.0,2.0,2012.0,20162017,6,2,73,N,Frk,CZE,8476924,2,R,R,Martin Frk,210
9,9,9,63,Maykop,RUS,1993-06-17,,TBL,Tampa Bay Lightning,58.0,2.0,2011.0,20132014,70,33,72,N,Kucherov,RUS,8476453,96,R,L,Nikita Kucherov,173
10,10,10,15,Windsor,CAN,1991-01-24,ON,,,13.0,1.0,2009.0,20112012,74,8,75,N,Kassian,CAN,8475178,23,R,R,Zack Kassian,211
11,11,11,2,Whitby,CAN,1987-09-03,ON,,,33.0,2.0,2005.0,20082009,19,2,75,N,Neal,CAN,8471707,4,L,L,James Neal,212
12,12,12,64,Markham,CAN,1990-02-07,ON,NSH,Nashville Predators,1.0,1.0,2008.0,20082009,81,42,73,N,Stamkos,CAN,8474564,106,C,R,Steven Stamkos,193
13,13,13,22,Helsingborg,SWE,1994-01-20,,BOS,Boston Bruins,6.0,1.0,2012.0,20132014,75,5,76,N,Lindholm,SWE,8476854,27,D,L,Hampus Lindholm,217
14,14,14,5,Kitchener,CAN,1996-04-13,ON,TOR,Toronto Maple Leafs,186.0,7.0,2015.0,20202021,72,8,76,N,Lorentz,CAN,8478904,13,C,L,Steven Lorentz,219
15,15,15,1,Regina,CAN,1997-03-22,SK,,,,,,20212022,3,0,68,N,Halbgewachs,CAN,8480304,1,L,L,Jayden Halbgewachs,160
16,16,16,2,Pori,FIN,2000-07-06,,CAR,Carolina Hurricanes,3.0,1.0,2018.0,20192020,14,0,75,N,Kotkaniemi,FIN,8480829,2,C,L,Jesperi Kotkaniemi,212
